Date,Close/Last,Volume,Open,High,Low
09/21/2021,$294.8,22364100,$295.69,$297.54,$294.07
09/20/2021,$294.3,38278660,$296.33,$298.72,$289.52
09/17/2021,$299.87,41372460,$304.17,$304.5,$299.53
09/16/2021,$305.22,19550820,$303.76,$305.31,$300.76
09/15/2021,$304.82,28356300,$303.26,$305.32,$301.82
09/14/2021,$299.79,21853430,$299.56,$301.39,$298.1
09/13/2021,$296.99,23652950,$297.55,$298.54,$294.08
09-10-2021,$295.71,19633360,$298.415,$299.92,$295.38
09-09-2021,$297.25,19927000,$300.82,$302.14,$297
09-08-2021,$300.21,15046820,$299.78,$300.61,$297.4651
09-07-2021,$300.18,17184080,$301.005,$301.09,$298.2
09-03-2021,$301.14,14751610,$300.99,$302.6,$300.26
09-02-2021,$301.15,16290550,$302.2,$303.3602,$300.18
09-01-2021,$301.83,18983830,$302.865,$305.19,$301.49
08/31/2021,$301.88,26285340,$304.42,$304.5,$301.5
08/30/2021,$303.59,16348070,$301.115,$304.22,$301.06
08/27/2021,$299.72,22605730,$298.987,$300.87,$296.83
08/26/2021,$299.09,17666080,$300.99,$302.429,$298.95
08/25/2021,$302.01,20006060,$304.3,$304.59,$300.42
08/24/2021,$302.62,18175770,$305.02,$305.65,$302.0035
08/23/2021,$304.65,22830160,$303.245,$305.4,$301.85
08/20/2021,$304.36,40817650,$299.72,$305.84,$298.06
08/19/2021,$296.77,29850460,$288.694,$297.47,$288.64
08/18/2021,$290.73,21812990,$292.04,$294.82,$290.27
08/17/2021,$293.08,20075250,$292.39,$293.43,$291.08
08/16/2021,$294.6,22516030,$293.19,$294.82,$290.02
08/13/2021,$292.85,18249050,$289.48,$292.9,$289.3
08-12-2021,$289.81,14570390,$286.63,$289.97,$286.34
08-11-2021,$286.95,13955930,$287.21,$288.66,$285.86
08-10-2021,$286.44,18616580,$288.8,$289.25,$285.2
08-09-2021,$288.33,16117630,$289.75,$291.55,$287.81
08-06-2021,$289.46,16589340,$288.505,$289.5,$287.6238
08-05-2021,$289.52,13900170,$286.88,$289.63,$286.1
08-04-2021,$286.51,16191300,$286.22,$287.5883,$284.65
08-03-2021,$287.12,17879050,$285.42,$287.23,$284
08-02-2021,$284.82,16267360,$286.36,$286.775,$283.74
07/30/2021,$284.91,20944850,$285.17,$286.66,$283.91
07/29/2021,$286.5,18168290,$286.235,$288.618,$286.08
07/28/2021,$286.22,33566850,$288.99,$290.15,$283.8303
07/27/2021,$286.54,33604070,$289.43,$289.575,$282.95
07/26/2021,$289.05,23176070,$289,$289.69,$286.642
07/23/2021,$289.67,22768070,$287.37,$289.99,$286.5
07/22/2021,$286.14,23384060,$283.84,$286.42,$283.42
07/21/2021,$281.4,24364320,$278.905,$281.52,$277.29
07/20/2021,$279.32,26259740,$278.03,$280.97,$276.26
07/19/2021,$277.01,32935630,$278.934,$280.37,$274.45
07/16/2021,$280.75,26186850,$282.07,$284.1,$279.46
07/15/2021,$281.03,22604230,$282,$282.51,$279.83
07/14/2021,$282.51,23113660,$282.345,$283.66,$280.55
07/13/2021,$280.98,26120130,$277.52,$282.8477,$277.39
07-12-2021,$277.32,18931700,$279.157,$279.77,$276.58
07-09-2021,$277.94,23916670,$275.72,$278.05,$275.32
07-08-2021,$277.42,24618590,$276.9,$278.73,$274.87
07-07-2021,$279.93,23260030,$279.4,$280.6945,$277.15
07-06-2021,$277.66,31565560,$278.03,$279.3698,$274.3
07-02-2021,$277.65,26474410,$272.82,$278,$272.5
07-01-2021,$271.6,16725320,$269.61,$271.84,$269.6
06/30/2021,$270.9,21656460,$270.69,$271.3598,$269.6043
06/29/2021,$271.4,19937810,$268.865,$271.65,$267.98
06/28/2021,$268.72,19590020,$266.185,$268.9,$265.91
06/25/2021,$265.02,25611110,$266.23,$267.25,$264.76
06/24/2021,$266.69,21446870,$266.16,$267.85,$265.47
06/23/2021,$265.275,19518680,$265.99,$266.83,$264.43
06/22/2021,$265.51,24694090,$262.72,$265.79,$262.4
06/21/2021,$262.63,26696120,$259.82,$263.52,$257.92
06/18/2021,$259.43,37202220,$259.63,$262.3,$258.75
06/17/2021,$260.9,27565540,$256.065,$261.75,$256.01
06/16/2021,$257.38,27219960,$259.4,$260.58,$254.42
06/15/2021,$258.36,18038930,$259.775,$259.99,$257.68
06/14/2021,$259.89,19150510,$257.9,$259.95,$256.8
06-11-2021,$257.89,18999730,$257.985,$258.4868,$256.61
06-10-2021,$257.24,24563620,$254.29,$257.46,$253.67
06-09-2021,$253.59,17937630,$253.81,$255.53,$253.21
06-08-2021,$252.57,22455000,$255.16,$256.01,$252.51
06-07-2021,$253.81,23079170,$249.98,$254.09,$249.81
06-04-2021,$250.79,25281090,$247.76,$251.65,$247.51
06-03-2021,$245.71,25307710,$245.22,$246.34,$243
06-02-2021,$247.3,19406710,$248.125,$249.27,$245.84
06-01-2021,$247.4,23213310,$251.23,$251.29,$246.96
05/28/2021,$249.68,18274940,$250.995,$252.08,$249.56
05/27/2021,$249.31,24426240,$251.17,$251.48,$249.25
05/26/2021,$251.49,17771600,$251.43,$252.94,$250.75
05/25/2021,$251.72,17704300,$251.769,$252.75,$250.82
05/24/2021,$250.78,21411550,$247.785,$251.16,$247.51
05/21/2021,$245.17,21863060,$247.565,$248.33,$244.74
05/20/2021,$246.48,21800720,$243.96,$247.95,$243.86
05/19/2021,$243.12,25739810,$239.31,$243.23,$238.6
05/18/2021,$243.08,20167980,$246.27,$246.41,$242.9
05/17/2021,$245.18,24938180,$246.55,$246.59,$243.52
05/14/2021,$248.15,23901080,$245.575,$249.18,$245.49
05/13/2021,$243.03,29624300,$241.8,$245.6,$241.42
05-12-2021,$239,36684370,$242.165,$244.38,$238.07
05-11-2021,$246.23,33641590,$244.55,$246.6,$242.57
05-10-2021,$247.18,29299890,$250.87,$251.73,$247.12
05-07-2021,$252.46,27032910,$252.15,$254.3,$251.17
05-06-2021,$249.73,26491090,$246.45,$249.86,$244.69
05-05-2021,$246.47,21901330,$249.06,$249.5,$245.82
05-04-2021,$247.79,32756050,$250.97,$251.21,$245.76
05-03-2021,$251.86,19626570,$253.4,$254.35,$251.12
04/30/2021,$252.18,30945100,$249.74,$253.08,$249.6
04/29/2021,$252.51,40589020,$255.46,$256.1,$249
04/28/2021,$254.56,46903120,$256.078,$256.5399,$252.95
04/27/2021,$261.97,31014210,$261.585,$263.19,$260.12
04/26/2021,$261.55,19763350,$261.66,$262.435,$260.17
04/23/2021,$261.15,21499290,$257.88,$261.51,$257.27
04/22/2021,$257.17,25606150,$260.21,$261.78,$255.64
04/21/2021,$260.58,24030380,$258.94,$260.68,$257.25
04/20/2021,$258.26,19722880,$257.82,$260.2,$256.84
04/19/2021,$258.74,23209260,$260.19,$261.48,$257.821
04/16/2021,$260.74,24878580,$259.47,$261,$257.6014
04/15/2021,$259.5,25627480,$257.931,$259.93,$257.73
04/14/2021,$255.59,23070940,$257.475,$258.83,$255.16
04/13/2021,$258.49,23837470,$257.257,$259.19,$256.83
04-12-2021,$255.91,27148670,$254.71,$257.67,$254.62
04-09-2021,$255.85,24326830,$252.87,$255.99,$252.44
04-08-2021,$253.25,23625200,$252.77,$254.139,$252
04-07-2021,$249.9,22719840,$247.81,$250.93,$247.19
04-06-2021,$247.86,22931920,$247.61,$249.4,$246.88
04-05-2021,$249.07,36910610,$242.76,$249.96,$242.7
04-01-2021,$242.35,30337980,$238.47,$242.84,$238.0501
03/31/2021,$235.77,43623470,$232.91,$239.1,$232.39
03/30/2021,$231.85,24792010,$233.525,$233.85,$231.1
03/29/2021,$235.24,25227460,$236.59,$236.8,$231.88
03/26/2021,$236.48,25479850,$231.55,$236.71,$231.55
03/25/2021,$232.34,34061850,$235.3,$236.94,$231.57
03/24/2021,$235.46,25620130,$237.845,$238,$235.32
03/23/2021,$237.58,31638380,$237.485,$241.05,$237.07
03/22/2021,$235.99,30127010,$230.27,$236.9,$230.14
03/19/2021,$230.35,46430730,$231.02,$232.474,$229.3496
03/18/2021,$230.72,34852250,$232.56,$234.19,$230.33
03/17/2021,$237.04,29562100,$236.15,$238.55,$233.23
03/16/2021,$237.71,28092200,$236.28,$240.055,$235.94
03/15/2021,$234.81,26042670,$234.96,$235.185,$231.81
03-12-2021,$235.75,22653660,$234.01,$235.82,$233.23
03-11-2021,$237.13,29907590,$234.96,$239.17,$234.31
03-10-2021,$232.42,29746810,$237,$237,$232.04
03-09-2021,$233.78,33080530,$232.88,$235.3839,$231.67
03-08-2021,$227.39,35267440,$231.37,$233.365,$227.13
03-05-2021,$231.6,41872770,$229.517,$233.27,$226.46
03-04-2021,$226.73,44727790,$226.735,$232.49,$224.26
03-03-2021,$227.56,34029530,$232.155,$233.5799,$227.26
03-02-2021,$233.87,22812460,$237.01,$237.3,$233.45
03-01-2021,$236.94,25332840,$235.9,$237.47,$233.15
02/26/2021,$232.38,37819230,$231.525,$235.37,$229.54
02/25/2021,$228.99,39542240,$232.08,$234.5852,$227.88
02/24/2021,$234.55,26339750,$230.01,$235.2,$229
02/23/2021,$233.27,30228700,$230.325,$234.83,$228.73
02/22/2021,$234.51,36446940,$237.42,$237.93,$232.4
